timestamp,in-txns,in-volume,out-txns,out-volume,total-txns,total-volume
2023-05-14,84,59657.064019,35,46556.334381,119,106213.3984
2023-05-15,101,27893.477177,31,12245.924515,132,40139.401692
2023-05-16,81,35780.371992,27,30960.251272999998,108,66740.623265
2023-05-17,53,65018.03788,34,64160.904363,87,129178.942243
2023-05-18,43,39046.546226,22,7951.7882899999995,65,46998.334515999995
2023-05-19,46,33231.787955,30,37775.208195,76,71006.99614999999
2023-05-20,64,61965.661864,30,52620.287213999996,94,114585.949078
2023-05-21,249,208781.386469,60,338744.129172,309,547525.515641
2023-05-22,210,57526.811313,68,48699.979045,278,106226.790358
2023-05-23,261,284538.792787,117,464598.906726,378,749137.699513
2023-05-24,216,293790.118666,78,166983.961694,294,460774.08036
2023-05-25,201,234738.700443,61,181920.53226399998,262,416659.232707
2023-05-26,261,80052.367064,84,123634.978025,345,203687.345089
2023-05-27,256,96499.579652,69,23731.810406,325,120231.390058
2023-05-28,321,76487.293233,70,78196.808888,391,154684.102121
2023-05-29,101,66324.46611,45,69273.346469,146,135597.812579
2023-05-30,351,278354.166663,78,377085.165257,429,655439.33192
2023-05-31,228,465905.918364,54,379689.598822,282,845595.517186
2023-06-01,159,296505.65852,71,249985.743686,230,546491.4022059999
2023-06-02,83,35950.032306,40,13742.421518000001,123,49692.453824000004
2023-06-03,103,48166.379001,44,48545.209689,147,96711.58869
2023-06-04,99,31798.777837,48,202732.521012,147,234531.298849
2023-06-05,90,124619.39769099999,65,71958.862541,155,196578.26023199997
2023-06-06,403,146309.26480499998,167,67110.430275,570,213419.69507999998
2023-06-07,2234,179157.930104,769,120132.270211,3003,299290.200315
2023-06-08,1462,119239.567129,786,90332.166059,2248,209571.73318799998
2023-06-09,1095,103431.188186,550,267538.276942,1645,370969.465128
2023-06-10,282,53436.905128,233,67238.69906500001,515,120675.604193
2023-06-11,122,55692.285655,180,46012.984738,302,101705.270393
2023-06-12,185,66642.230956,116,33757.344747,301,100399.57570300001
2023-06-13,36,15429.932679,42,10608.578619,78,26038.511297999998
